SMILES;pK_BHX
C#C[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.6
C[C:1]#[C:1]c1ccccc1;-0.19
CC#C[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.57
c1ccc(cc1)N=N[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.53
c1ccc(cc1)[N:1]=Nc1ccccc1;-0.22
CC(Cl)C[Cl:1];-0.61
CC([Cl:1])CCl;-0.61
ClCC(Cl)C[Cl:1];-0.76
ClCC([Cl:1])CCl;-0.76
CO[c:1]1[c:1](C)[cH:1][cH:1][cH:1][c:1]1C;-0.21
C[O:1]c1c(C)cccc1C;0.32
CO[c:1]1[cH:1][c:1](C)[cH:1][cH:1][c:1]1C(C)(C)C;-0.16
C[O:1]c1cc(C)ccc1C(C)(C)C;-1.44
O(c1ccccc1)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.43
[O:1](c1ccccc1)c1ccccc1;-0.8
C1[c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]2Oc2ccccc12;-0.43
C1c2ccccc2[O:1]c2ccccc12;-1.71
CS[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.48
C[S:1]c1ccccc1;-0.32
S(c1ccccc1)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.51
[S:1](c1ccccc1)c1ccccc1;-0.93
C[O:1]CCN;1.09
COCC[NH2:1];2.26
C[O:1]CCCN;1.16
COCCC[NH2:1];2.22
NCCC#[N:1];0.7
[NH2:1]CCC#N;1.33
COCCNCC[O:1]C;0.99
COCC[NH:1]CCOC;2.31
CN1CCCC1c1ccc[n:1]c1;2.03
C[N:1]1CCCC1c1cccnc1;1.11
C1CNC(C1)c1ccc[n:1]c1;2.08
C1C[NH:1]C(C1)c1cccnc1;1.52
[CH:1]#CCN(CC#C)CC#C;-0.64
C#CC[N:1](CC#C)CC#C;0.83
C(N(C[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1)Cc1ccccc1)c1ccccc1;-0.39
C([N:1](Cc1ccccc1)Cc1ccccc1)c1ccccc1;-1.5
CCOC(=[O:1])N1C=CN(C)C1=S;0.72
CCOC(=O)N1C=CN(C)C1=[S:1];1.32
S=C=N[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.63
[S:1]=C=Nc1ccccc1;-0.55
CN(C)C=Nc1ccc(cc1)[N+]([O-:1])=O;0.48
CN(C)C=[N:1]c1ccc(cc1)[N+]([O-])=O;1.2
CN(C)C=Nc1ccc(cc1)C#[N:1];1.23
CN(C)C=[N:1]c1ccc(cc1)C#N;1.32
CN(C)C=Nc1ccc(cc1)C(C)=[O:1];1.7
CN(C)C=[N:1]c1ccc(cc1)C(C)=O;1.52
C[O:1]CCN=CN(C)C;1
COCC[N:1]=CN(C)C;2.74
CN(C)C=NCCC#[N:1];1
CN(C)C=[N:1]CCC#N;2.12
[N:1]#Cc1ccncc1;0.47
N#Cc1cc[n:1]cc1;0.92
[N:1]#Cc1cccnc1;0.53
N#Cc1ccc[n:1]c1;0.82
[N:1]#Cc1ccccn1;0.61
N#Cc1cccc[n:1]1;0.48
[Cl:1]c1ccccc1;-1.02
Cl[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.65
[Br:1]c1ccccc1;-0.92
Br[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.66
Ic1ccccc1;-0.92
I[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.64
CN1C(CC([OH:1])c2ccccc2)CCCC1CC(=O)c1ccccc1;1.94
C[N:1]1C(CC(O)c2ccccc2)CCCC1CC(=O)c1ccccc1;2.11
COC(=[O:1])C(Cl)(Cl)Cl;0.11
CCOC(=[O:1])C(F)(F)F;0.08
CCOC(=[O:1])C(Cl)(Cl)Cl;0.15
CCOC(=[O:1])C(=O)OCC;0.65
CC(=[O:1])OC(C)(C)C;1.1
CCOC(=[O:1])C=CN(C)C;2.09
CCOC(=[O:1])c1ccc(cc1)C(=O)OCC;0.76
[O:1]=COc1ccccc1;0.35
COC=[O:1];0.65
CCSC(=[O:1])OC;0.73
CC(C)(C)OC(=[O:1])c1ccccc1;0.97
CCOC(=[O:1])c1ccc(F)cc1;0.88
COC(=[O:1])C1CCCCC1;1.06
CCOC(=[O:1])c1cccc(C)c1;1.01
COC(=[O:1])C1CC1;1.12
CC(=O)C(C)=[O:1];0.23
[O:1]=C(C(=O)c1ccccc1)c1ccccc1;0.44
[O:1]=C1C=CC(=O)C=C1;0.51
[O:1]=C1C=C(Oc2ccccc12)c1ccccc1;1.99
CC(=O)c1ccc(cc1)C(C)=[O:1];0.92
CC(=[O:1])c1cccc(c1)C(C)=O;0.86
CCN(CC)c1ccc(cc1)C(=[O:1])c1ccc(cc1)N(CC)CC;2.33
CC1(C)CC(=[O:1])C=C(Cl)C1;1.21
CC1=CC(=[O:1])CC(C)(C)C1;1.74
[O:1]=C1C(=C1c1ccccc1)c1ccccc1;2.3
CN(C)C1=CC(=[O:1])CC(C)(C)C1;2.92
CCN(CC)C(=[O:1])N(CC)CC;2.43
CN(C)C(=[O:1])N(C)C;2.44
CN1CCN(C)C1=[O:1];2.46
ClC(=[O:1])N(c1ccccc1)c1ccccc1;0.75
CCN(CC)C(Cl)=[O:1];1.08
CN(C)C(=[O:1])C(Cl)(Cl)Cl;1.17
[O:1]=CN(c1ccccc1)c1ccccc1;1.41
[O:1]=C(N(c1ccccc1)c1ccccc1)c1ccccc1;1.61
CC(C)(C)C(=[O:1])N(c1ccccc1)c1ccccc1;1.64
COc1ccc(cc1)C(=[O:1])N(c1ccccc1)c1ccccc1;1.67
CN(C)C(=[O:1])c1ccc(cc1)[N+]([O-])=O;1.9
CN(C)C(=[O:1])c1ccc(cc1)C(F)(F)F;1.97
CN(C)C(=[O:1])c1ccc(Br)cc1;2.07
CN(C)C(=[O:1])c1ccc(F)cc1;2.14
CCN(CC)C(=[O:1])c1ccccc1;2.26
CN(C)C(=[O:1])c1ccc(C)cc1;2.27
COc1ccc(cc1)C(=[O:1])N(C)C;2.31
CCN(CC)C(=[O:1])c1ccc(OC)cc1;2.35
CN(C)C(=[O:1])c1ccc(cc1)N(C)C;2.49
[O:1]=C(Oc1ccccc1)N(c1ccccc1)c1ccccc1;1.18
COC(=[O:1])N(c1ccccc1)c1ccccc1;1.41
CCOC(=[O:1])N(c1ccccc1)c1ccccc1;1.45
COC(=[O:1])N(C)C;1.8
CCOC(=[O:1])N(CC)CC;1.95
[O:1]=C(N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1;1.74
CCN(CC)C(=[O:1])N(c1ccccc1)c1ccccc1;2.07
CN(C)C(=[O:1])N(c1ccccc1)c1ccccc1;2.08
CCN(C(=[O:1])N(CC)c1ccccc1)c1ccccc1;2.16
CN1C(=[O:1])CCC1=O;1.06
CCC1(C)CC(=[O:1])NC(=O)C1;1.05
CCN1C(=[O:1])C=CC1=O;0.68
CC(=[O:1])Nc1ccccc1;1.69
CC(=O)OC(C)=[O:1];0.55
ClS(Cl)=[O:1];-0.38
CS(=[O:1])c1ccc(cc1)[N+]([O-])=O;1.58
[O:1]=[Se](Cc1ccccc1)Cc1ccccc1;3.3
C[Se](C)=[O:1];3.43
CCOS(=[O:1])(=O)OCC;0.5
CCOS(C)(=[O:1])=O;0.72
O=S(=[O:1])(c1ccccc1)c1ccccc1;0.91
[O:1]=S1(=O)CCCC1;1.17
CCCCS(=O)(=[O:1])CCCC;1.22
CN(C)S(=O)(=[O:1])c1ccccc1;0.89
CN(C)S(C)(=O)=[O:1];1
CCN(CC)S(=O)(=[O:1])N(CC)CC;1.17
CN(C)C=NS(=[O:1])(=O)c1ccccc1;1.51
CC[O:1]CCOCC;1.09
C[O:1]CCOC;1.02
CC(C)(C)[O:1]C(C)(C)C;0.75
C[O:1]COC;0.58
C[O:1]C(OC)OC;0.55
COC([O:1]C)(OC)OC;0.26
C[Si](C)(C)[O:1][Si](C)(C)C;-0.53
C[O:1]C(C(F)(F)F)C(F)(F)F;-0.41
C1C2CC3CC1CC(C2)C31[O:1]C11C2CC3CC(C2)CC1C3;1.44
C1C[O:1]CCO1;0.73
C1COC[O:1]C1;0.63
C1C[O:1]CO1;0.45
C1OC[O:1]CO1;0.02
c1cc[o:1]c1;-0.4
CC(C)C12CCC(C)(O[O:1]1)C=C2;0.92
C1C2CC3CC1CC(C2)C31[O:1]OC11C2CC3CC(C2)CC1C3;0.63
CC(C)(C)O[O:1]C(C)(C)C;0.13
C1C[O:1]CCOCCOCCOCCOCCO1;1.2
C1COCCOCC[O:1]CCO1;1.13
C1COCCOCCOCCOCC[O:1]1;1.12
c1c[c:1]2[cH:1][cH:1][c:1]3cccc4ccc(c1)[c:1]2[c:1]34;-0.56
c1cc[c:1]2[c:1](c1)[cH:1][cH:1][c:1]1cccc[c:1]21;-0.53
c1cc[c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]2c1;-0.48
[cH:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.49
c1ccc(cc1)-[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.47
C([c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1)c1ccccc1;-0.41
[cH:1]1[cH:1][cH:1][c:1]([cH:1][cH:1]1)C(c1ccccc1)c1ccccc1;-0.5
C[Si](C)(C)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.36
C[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.36
CC[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.36
CC(C)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.34
C1CCC(CC1)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.32
CC(C)(C)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.32
C1C2CC3CC1CC(C2)(C3)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.28
C[c:1]1[cH:1][cH:1][cH:1][cH:1][c:1]1C;-0.27
C[c:1]1[cH:1][cH:1][cH:1][c:1](C)[cH:1]1;-0.28
C[c:1]1[cH:1][cH:1][c:1](C)[cH:1][cH:1]1;-0.29
C[c:1]1[cH:1][c:1](C)[cH:1][c:1](C)[cH:1]1;-0.18
CC(C)[c:1]1[cH:1][c:1]([cH:1][c:1]([cH:1]1)C(C)C)C(C)C;-0.18
CC(C)(C)[c:1]1[cH:1][c:1]([cH:1][c:1]([cH:1]1)C(C)(C)C)C(C)(C)C;-0.23
C[c:1]1[cH:1][c:1](C)[c:1](C)[cH:1][c:1]1C;-0.15
C[c:1]1[cH:1][cH:1][c:1](C)[c:1](C)[c:1]1C;-0.14
C[c:1]1[cH:1][c:1](C)[c:1](C)[c:1](C)[c:1]1C;-0.07
C[c:1]1[c:1](C)[c:1](C)[c:1](C)[c:1](C)[c:1]1C;0.02
C[C:1](C)=[C:1](C)C;-0.85
C[C:1]1=[CH:1]CCCC1;-0.74
C1CC[CH:1]=[CH:1]C1;-0.82
C1C=CC[CH:1]=[CH:1]1;-0.88
CCCCC[CH:1]=[CH2:1];-0.67
CC[C:1]#[C:1]CC;-0.1
CCCC[C:1]#[CH:1];-0.22
[CH:1]#[C:1]CCC#C;-0.43
[OH:1]C1CCCCC1;1.14
CCCCCCCC[OH:1];1.04
CCCC[OH:1];1.02
CCC[OH:1];1
[OH:1]CCc1ccccc1;0.97
[OH:1]Cc1ccccc1;0.86
[OH:1]CC=C;0.79
[OH:1]CCF;0.55
[OH:1]CCBr;0.54
[OH:1]CC#C;0.38
Cc1ccc([OH:1])cc1;0.03
Cc1cccc([OH:1])c1;0.01
[OH:1]c1ccccc1;-0.07
[OH:1]CC(Cl)(Cl)Cl;-0.13
[OH:1]CC(F)(F)F;-0.28
[OH:1]c1cccc(c1)C(F)(F)F;-0.36
[OH:1]C(C(F)(F)F)C(F)(F)F;-0.96
N(c1ccccc1)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.3
CN(C)c1cccc2[cH:1][cH:1][cH:1][c:1](N(C)C)c12;-0.24
C[N:1](C)c1ccc(cc1)N(C)C;1.13
Cc1ccc2N3CN(Cc2c1)[c:1]1[cH:1][cH:1][c:1](C)[cH:1][c:1]1C3;-0.26
[O:1]=P(N1CCCCC1)(N1CCCCC1)N1CCCCC1;3.74
[O:1]=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1;1.89
CC1=[N:1]CCC1;2.59
[F:1]C1C2CC3CC(C2)C([F:1])C1C3;0.48
[F:1]C12CC3CC(CC(C3)C1)C2;0.31
[F:1]C1C2CC3CC(C2)CC1C3;-0.02
[F:1]C1CCCCC1;0.09
[F:1]C12CC3CC(C1)CC(F)(C3)C2;0
CCCCCCCC[F:1];0.02
CCCCC[F:1];-0.06
FCCC[F:1];-0.27
CC([Cl:1])(Cl)Cl;-1.15
ClC[Cl:1];-0.8
CC([Cl:1])Cl;-0.72
[Cl:1]CCCl;-0.61
ClCCC[Cl:1];-0.51
ClCCCC[Cl:1];-0.47
CCCC[Cl:1];-0.41
[Cl:1]CCCCCCl;-0.39
CCCCC[Cl:1];-0.38
CC(C)[Cl:1];-0.3
[Cl:1]C1CCCCC1;-0.27
CC(C)(C)[Cl:1];-0.28
[Cl:1]C12CC3CC(CC(C3)C1)C2;-0.18
[Cl:1]C1CCCCC1Cl;-0.5
BrC[Br:1];-0.7
[Br:1]CCBr;-0.63
BrCCC[Br:1];-0.53
[Br:1]C1CC1;-0.47
BrCCCC[Br:1];-0.47
CC[Br:1];-0.4
CCC[Br:1];-0.38
CCCCC[Br:1];-0.35
CCCC[Br:1];-0.34
CC(C)[Br:1];-0.3
[Br:1]C1CCCCC1;-0.25
CC(C)(C)[Br:1];-0.22
BrC12CC3CC(CC(C3)C1)C2;-0.17
IC[I:1];-0.68
[I:1]CCI;-0.65
ICCC[I:1];-0.51
C[I:1];-0.47
CC[I:1];-0.47
ICCCC[I:1];-0.46
CCCCC[I:1];-0.37
CC(C)[I:1];-0.37
CC(C)(C)[I:1];-0.33
[I:1]C1CCCCC1;-0.32
[I:1]C12CC3CC(CC(C3)C1)C2;-0.19
CN(C)C=C[N+]([O-:1])=O;1.47
CC(C)[N+]([O-:1])=O;0.41
C[N+]([O-:1])=O;0.27
CC[N+]([O-:1])=O;0.32
CC(C)(C)[N+]([O-:1])=O;0.42
CC1(C)C2CCC1(C)C(C2)=N[N+]([O-:1])=O;0.34
[O:1]=Nc1ccccc1;0.15
CCN(CC)c1ccc(cc1)N=[O:1];1.33
[O:1]=NN1CCCC1;1.49
[Se:1]=P(c1ccccc1)(c1ccccc1)c1ccccc1;0.94
[O-][N+](=O)c1cc[n+]([O-:1])cc1;1.05
[O-:1][n+]1ccc(Cl)cc1;2.44
[O-:1][n+]1ccccc1;2.72
[O-:1][n+]1ccc(cc1)-c1ccccc1;2.85
Cc1ccc[n+]([O-:1])c1;2.92
Cc1cc[n+]([O-:1])cc1;3.12
COc1cc[n+]([O-:1])cc1;3.7
[O:1]=[As](c1ccccc1)(c1ccccc1)c1ccccc1;4.15
C[S:1]SC;-0.49
CC[S:1]SCC;-0.4
C[S:1]CSC;-0.22
C1C[S:1]CS1;-0.38
C1C[S:1]CCS1;-0.14
C1CSC[S:1]C1;-0.06
c1c[n:1]c2c(c1)ccc1ccc[n:1]c21;3.1
c1ccc(cc1)-c1cc[n:1]c2c1ccc1c(cc[n:1]c21)-c1ccccc1;3.26
Cc1cc[n:1]c2c1ccc1c(C)cc[n:1]c21;3.34
Cc1c[n:1]c2c(ccc3c(C)c(C)c[n:1]c23)c1C;3.46
C[O:1]c1ccccc1OC;1.16
COc1cccc([O:1]C)c1;-0.08
C[O:1]c1ccc(OC)cc1;0.12
C1Oc2ccccc2[O:1]1;-0.45
C1C[O:1]c2ccccc2O1;-0.23
[NH2:1]C12CC3CC(CC(C3)C1)C2;2.3
[NH2:1]C1CCCCC1;2.29
CCCCCCCC[NH2:1];2.27
CCCCCCCCCCCCCCCC[NH2:1];2.26
CC(C)(C)[NH2:1];2.23
CC(C)[NH2:1];2.2
CCCC[NH2:1];2.19
CCC[NH2:1];2.2
CC[NH2:1];2.17
[NH2:1]C1CC1;1.72
[NH2:1]CCN;2.25
NCCC[NH2:1];2.31
NCCCC[NH2:1];2.21
NCCCCCC[NH2:1];2.21
[NH2:1]CCc1ccccc1;2.16
[NH2:1]CC=C;1.93
[NH2:1]Cc1ccccc1;1.84
[NH2:1]CC#C;1.56
[NH2:1]CC(F)(F)F;0.71
C[NH2:1];2.2
C1CC[NH:1]C1;2.59
C1C[NH:1]C1;2.59
C[NH:1]CCNC;2.29
CC1C[NH:1]1;2.28
C[NH:1]C;2.26
C1CNCC[NH:1]1;2.11
C1Cc2ccccc2C[NH:1]1;2.04
C[NH:1]Cc1ccccc1;1.82
C[Si](C)(C)[NH:1][Si](C)(C)C;-0.45
C1C[N:1]2CCC1CC2;2.71
C1C[N:1]2CCN1CC2;2.33
C[N:1](C)CCCCCCN(C)C;2.05
C[N:1](C)CCN(C)C;2.02
CN1CC[N:1](C)CC1;1.88
C[N:1]1CN(C)CN(C)C1;1.58
C1N2CN3CN1C[N:1](C2)C3;1.33
CC[N:1](C(C)C)C(C)C;1.05
CC(C)C[N:1](C(C)C)C(C)C;0.3
CCC(CC)[N:1](C(C)C)C(C)C;-0.34
CN(C)C(=[S:1])N=C(C)N(C)C;2.06
C[Se:1]C;-0.01
[cH:1]1[cH:1][cH:1]s[cH:1]1;-0.5
ClC(Cl)(Cl)C#[N:1];-0.26
C[Si](C)(C)C#[N:1];0.93
C#CC#[N:1];0.3
[O-][N+](=O)c1ccc(cc1)C#[N:1];0.35
ClC(=C)C#[N:1];0.36
[N:1]#Cc1ccccc1C#N;0.38
[O-][N+](=O)c1cccc(c1)C#[N:1];0.43
[N:1]#Cc1cccc(c1)C#N;0.48
Clc1cc(Cl)cc(c1)C#[N:1];0.52
FC(F)(F)c1ccccc1C#[N:1];0.57
BrCC#[N:1];0.57
Clc1cccc(c1)C#[N:1];0.65
Brc1cccc(c1)C#[N:1];0.65
ICC#[N:1];0.67
BrCc1cccc(c1)C#[N:1];0.7
FC(F)(F)c1cccc(CC#[N:1])c1;0.7
Brc1ccc(CC#[N:1])cc1;0.72
ClCCC#[N:1];0.73
Brc1ccc(cc1)C#[N:1];0.73
Clc1cccc(CC#[N:1])c1;0.74
BrCc1ccc(cc1)C#[N:1];0.75
CSCC#[N:1];0.77
Fc1ccc(CC#[N:1])cc1;0.77
COc1cc(OC)cc(c1)C#[N:1];0.78
COc1cccc(c1)C#[N:1];0.8
Clc1ccc(CC#[N:1])cc1;0.82
ClCCCC#[N:1];0.83
[N:1]#Cc1ccc(cc1)-c1ccccc1;0.83
Cc1ccc(CC#[N:1])cc1;0.84
Cc1cccc(c1)C#[N:1];0.85
ClCCCCC#[N:1];0.87
Cc1cccc(CC#[N:1])c1;0.87
COc1ccc(CC#[N:1])cc1;0.87
Cc1ccc(cc1)C#[N:1];0.88
CCCCC#[N:1];0.92
[N:1]#CC1CCCCC1;0.97
CN(C)C=[N:1]CC#C;2.3
CN(C)C=[N:1]c1ccc(cc1)N(C)C;2.32
CN(C)C=[N:1]c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O;0.6
CC(C)[N:1]=C(N(C(C)C)C(C)C)N(C(C)C)C(C)C;1.06
CN1CCCN2CCC[N:1]=C12;3.48
C1C[N:1]=C2CCCCCN2C1;3.85
C1CN2CCC[N:1]=C2C1;3.89
N(C=[N:1]c1ccccc1)c1ccccc1;2.13
CNC(=[N:1]c1ccccc1)c1ccccc1;1.83
Cn1c[n:1]cc1Br;2.22
[cH:1]1[cH:1][cH:1][nH][cH:1]1;0.15
Cn1cc[n:1]c1;2.72
C1CCC(CC1)c1c[n:1]cn1C1CCCCC1;3.12
Cn1[cH:1][cH:1][cH:1][cH:1]1;0.23
c1ccc2c[n:1]ncc2c1;1.97
c1ccn[n:1]c1;1.65
Nc1[n:1]cccn1;1.55
c1ccc2[n:1]c3ccccc3nc2c1;1.22
c1ccc([n:1]c1)-c1ccccn1;1.15
c1c[n:1]cnc1;1.07
c1c[n:1]ccn1;0.92
c1ccc2c(c1)ccc1ccc[n:1]c21;1.16
Brc1c[n:1]cnc1;0.59
c1nc[n:1]cn1;0.32
Fc1[n:1]c(F)c(F)c(F)c1F;-0.49
Fc1c(F)c(F)c(C#[N:1])c(F)c1F;0.01
CN(C)C=NC#[N:1];2.09
CCCC[N+](CCCC)(CCCC)[N-]C#[N:1];3.24
Cc1c[n:1]c(C)cn1;1.29
Cc1cc(C)nc[n:1]1;1.47
C1CC1[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.37
C1[c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]2-c2ccccc12;-0.38
C[c:1]1[cH:1][c:1](n[c:1]([cH:1]1)C(C)(C)C)C(C)(C)C;-0.45
CC(C)(C)[c:1]1[cH:1][cH:1][cH:1][c:1](n1)C(C)(C)C;-0.54
CC[N:1](CC)CC(F)(F)F;0.23
[N:1]#CC1CCCC1;0.88
CCN(CC)C(=[O:1])C(C)(C)C;2.13
CCC[N:1](C)C;1.98
CCOP(C)=[O:1];2.66
CCCOP(C)=[O:1];2.73
CCP(=[O:1])CC;3.06
CCCCOP(=[O:1])OCCCC;2.49
[O:1]=P(C1CCCCC1)C1CCCCC1;3.05
CN(C)P(C)(=[O:1])N(C)C;3.41
CCCCOP(=[O:1])(CC)OCCCC;2.84
CCOP(=[O:1])(N(C)C)N(C)C;3.18
CC1CCOP(O)(=[O:1])O1;2.4
OP1(=[O:1])OCCC(O1)c1ccccc1;2.38
CC(C)C1OP(O)(=[O:1])OCC1(C)C;2.4
CN1CN(C)C1=[O:1];2.46
CCN(CC(=[O:1])N(CC)c1ccccc1)c1ccccc1;2.16
CN(C)C=[N:1]CC(C)(C)C;2.26
