SMILES;pK_BHX
C[N:1]1C(C)(C)CCCC1(C)C;1.23
CC[N:1](C1CCCCC1)C1CCCCC1;1.14
C[N:1]1CCCC1c1ccccc1;1.38
C[N:1]1CCCC1c1cccc(F)c1;1.09
C[N:1]1CCCC1c1cccc(c1)C(F)(F)F;0.92
[NH2:1]Cc1cccc(c1)[N+]([O-])=O;1.26
[NH2:1]Cc1cc(Cl)cc(Cl)c1;1.27
[NH2:1]Cc1cc(F)cc(F)c1;1.28
[NH2:1]Cc1cccc(c1)C(F)(F)F;1.43
COc1cccc(C[NH2:1])c1;1.94
Cc1cccc(C[NH2:1])c1;1.97
[NH2:1]Cc1cccc(F)c1;1.58
[NH2:1]Cc1cccc(Cl)c1;1.55
C1CC=CC[NH:1]1;2.16
C[N:1]1CCC=CC1;2.02
CC[N:1](C)Cc1ccccc1;1.47
C[N:1](C)Cc1cccc(F)c1;1.27
C[N:1](C)Cc1cccc(c1)C(F)(F)F;1.16
CC[N:1](C)Cc1cccc(c1)C(F)(F)F;1.03
CC[N:1](C)Cc1cccc(F)c1;1.14
C[N:1](C)CCCn1c2ccccc2c2ccccc12;1.88
C[N:1](C)CCC(=O)c1ccccc1;1.94
C[N:1](C)n1cccc1;0.23
Brc1ccc(NC(=[N:1]c2ccc(Br)cc2)c2ccccc2)cc1;0.87
Cc1ccc(NC(=[N:1]c2ccccc2)c2ccccc2)cc1;1.47
Cc1cccc(NC(=[N:1]c2ccccc2)c2ccccc2)c1;1.40
Fc1ccc(cc1)[N:1]=C(Nc1ccccc1)c1ccccc1;1.25
Clc1ccc(cc1)[N:1]=C(Nc1ccccc1)c1ccccc1;1.13
Clc1cccc(c1)[N:1]=C(Nc1ccccc1)c1ccccc1;1.05
CN(C)C=[N:1]c1ccc(Br)cc1;1.65
CN(C)C=[N:1]c1ccccc1;1.90
CN(C)C=[N:1]c1ccc(C)cc1;2.07
CN(C)C=[N:1]c1ccccc1Br;1.37
CN(C)C=[N:1]c1ccccc1C;1.63
CN(C)C=[N:1]Cc1cc(Cl)cc(Cl)c1;2.00
CN(C)C=[N:1]Cc1cccc(Cl)c1;2.10
CN(C)C=[N:1]Cc1ccc(Cl)cc1;2.12
CN(C)C=[N:1]Cc1ccccc1;2.35
CN(C)C=[N:1]Cc1ccc(C)cc1;2.36
CCC[N:1]=CN(C)C;2.59
CC(C)[N:1]=CN(C)C;2.60
CC(C)C[N:1]=CN(C)C;2.52
CN(C)C=[N:1]C(C)(C)C;2.41
C[N:1]=CN(C)C;2.70
CN(C)C=[N:1]C1CCCCC1;2.59
CCC(C)(C)[N:1]=CN(C)C;2.26
CN(C)C=[N:1]CC=C;2.48
CN(C)C=[N:1]CC(F)(F)F;1.60
COc1cccc(C[N:1]=CN(C)C)c1;2.40
COc1ccc(cc1)[N:1]=CN(C)C;2.08
CN(C)C=[N:1]c1ccc(F)cc1;1.80
COc1ccc(cc1)[N:1]=C(N(C)c1ccccc1)c1ccccc1;1.53
CN(C(=[N:1]c1ccc(C)cc1)c1ccccc1)c1ccccc1;1.52
CN(C(=[N:1]c1ccc(Br)cc1)c1ccccc1)c1ccccc1;1.11
COc1ccc(cc1)N(C)C(=[N:1]c1ccc(C)cc1)c1ccccc1;1.63
COc1ccc(cc1)N(C)C(=[N:1]c1ccc(Br)cc1)c1ccccc1;1.23
CN(C(=[N:1]c1ccc(C)cc1)c1ccccc1)c1ccc(Br)cc1;1.42
CN(C(=[N:1]c1ccc(Br)cc1)c1ccccc1)c1ccc(Br)cc1;0.99
C[N:1]=C(N(C)C)c1ccc(Br)cc1;2.19
CN(C(C)=[N:1]c1ccccc1)c1ccccc1;1.65
CN(C(C)=[N:1]c1ccc(C)cc1)c1ccccc1;1.75
CN(C(C)=[N:1]c1ccc(Br)cc1)c1ccccc1;1.36
CN(C(C)=[N:1]c1cccc(Cl)c1)c1ccccc1;1.24
CN(C(C)=[N:1]c1ccccc1)c1ccc(C)cc1;1.76
CN(C(C)=[N:1]c1ccc(C)cc1)c1ccc(C)cc1;1.82
CN(C(C)=[N:1]c1ccc(Br)cc1)c1ccc(C)cc1;1.43
CN(C(C)=[N:1]c1ccccc1)c1ccc(Br)cc1;1.38
CN(C(C)=[N:1]c1ccc(Br)cc1)c1ccc(Br)cc1;1.19
CN(C(C)=[N:1]c1ccccc1)c1cccc(Cl)c1;1.44
CN(C(C)=[N:1]c1cccc(Cl)c1)c1cccc(Cl)c1;1.05
CN(C)C(=[NH:1])N(C)C;3.20
Cc1ccc(NC=[N:1]c2ccc(C)cc2)cc1;2.22
Clc1ccc(NC=[N:1]c2ccc(Cl)cc2)cc1;1.63
CC(Nc1ccccc1)=[N:1]c1ccccc1;1.66
CC(Nc1ccc(C)cc1)=[N:1]c1ccc(C)cc1;2.01
CC(Nc1ccc(C)cc1)=[N:1]c1ccccc1;1.85
CC(Nc1ccc(C)cc1)=[N:1]c1ccc(Br)cc1;1.58
CC(Nc1ccccc1)=[N:1]c1ccc(Br)cc1;1.36
CC(Nc1ccccc1)=[N:1]c1cccc(Br)c1;1.24
N(C(=[N:1]c1ccccc1)c1ccccc1)c1ccccc1;1.29
C1CCN(C1)c1cc[n:1]cc1;2.93
CCN(CC)c1cc[n:1]cc1;2.89
CN(C)c1cc[n:1]cc1;2.80
CC1CCN(CC1)c1cc[n:1]cc1;2.68
C1CCN(CC1)c1cc[n:1]cc1;2.68
CN(N)c1cc[n:1]cc1;2.58
Nc1cc[n:1]cc1;2.56
Cc1cc(C)[n:1]c(C)c1;2.29
Cc1cc[n:1]cc1C;2.24
Nc1ccc[n:1]c1;2.20
Cc1cccc(C)[n:1]1;2.14
COc1cc[n:1]cc1;2.13
Nc1cccc[n:1]1;2.12
CC(C)(C)c1cc[n:1]cc1;2.11
CNc1cccc[n:1]1;2.11
Cc1cc[n:1]cc1;2.07
CCc1cc[n:1]cc1;2.07
Cc1cccc[n:1]1;2.03
CCc1ccc[n:1]c1;2.01
Cc1ccc[n:1]c1;2.00
c1ccc(cc1)-c1cc[n:1]cc1;1.96
C=Cc1cc[n:1]cc1;1.95
CCc1cccc[n:1]1;1.94
c1ccc2[n:1]cccc2c1;1.89
CCCCc1cccc[n:1]1;1.88
c1ccc2c(c1)c[n:1]c1ccccc21;1.87
c1cc[n:1]cc1;1.86
C=Cc1cccc[n:1]1;1.65
CN(C)c1cccc[n:1]1;1.61
Clc1cc[n:1]cc1;1.54
c1ccc(cc1)-c1cccc[n:1]1;1.43
Ic1ccc[n:1]c1;1.37
Fc1ccc[n:1]c1;1.35
Clc1ccc[n:1]c1;1.31
Brc1ccc[n:1]c1;1.31
Clc1cccc[n:1]1;1.05
Fc1cccc[n:1]1;0.95
Brc1cccc[n:1]1;1.03
Clc1c[n:1]cc(Cl)c1;0.85
Fc1cccc(F)[n:1]1;0.14
Cc1cc[n:1]c(C)c1;2.21
CNc1cc[n:1]cc1;2.69
BrC(Br)C#[N:1];0.19
BrC#[N:1];0.19
ClCC#[N:1];0.39
FC(F)(F)c1ccc(cc1)C#[N:1];0.54
FC(F)(F)c1cccc(c1)C#[N:1];0.53
Fc1ccccc1C#[N:1];0.64
BrCc1ccccc1C#[N:1];0.69
Brc1ccccc1C#[N:1];0.71
Clc1ccccc1C#[N:1];0.67
CSC#[N:1];0.73
Fc1ccc(cc1)C#[N:1];0.72
[N:1]#COc1ccccc1;0.77
[N:1]#Cc1ccccc1;0.80
Cc1ccccc1C#[N:1];0.83
CC#[N:1];0.91
CCC#[N:1];0.93
CCCC#[N:1];0.89
CC(C)C#[N:1];1.00
COc1ccccc1C#[N:1];1.06
CCCCCC#[N:1];0.89
CC(C)(C)C#[N:1];0.99
COc1ccc(cc1)C#[N:1];0.97
[N:1]#CC1CC1;1.03
[N:1]#CC12CC3CC(CC(C3)C1)C2;1.00
CN(C)C#[N:1];1.56
[N:1]#CN1CCCCC1;1.58
CCN(CC)C#[N:1];1.63
Clc1ccc(cc1)C#[N:1];0.66
Cc1cccc(C)c1C#[N:1];0.86
C=CCC#[N:1];0.87
[N:1]#CN1CCOCC1;1.34
[N:1]#CN1CCCC1;1.66
CC(C)N(C#[N:1])C(C)C;1.74
CCCN=C(NC)NC#[N:1];2.09
CN(C)C(C)=NC#[N:1];2.24
CNCC#[N:1];0.79
CN(C)CC#[N:1];0.76
C[O:1]C(C)(C)C;1.19
CC(C)[O:1]C(C)C;1.11
CC[O:1]C(C)(C)C;1.08
CC[O:1]CC;1.01
CCCC[O:1]CCCC;0.88
C=CC[O:1]CC=C;0.70
CC1(C)CCC(C)(C)[O:1]1;1.43
